iteration,loss,acc,binary_crossentropy,val_loss,val_acc,val_binary_crossentropy
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None True True --layer dense 32 None None ,0.887,0.4991,1.4373,0.6967,0.4997,0.6967
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None True True --layer dense 64 None None ,0.9414,0.5013,1.5713,0.6984,0.5021,0.6984
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None True False --layer dense 32 None None ,0.7124,0.5007,0.8062,0.6936,0.5113,0.6936
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None True False --layer dense 64 None None ,0.7139,0.5002,0.7854,0.6941,0.5075,0.6941
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None False True --layer dense 32 None None ,0.7838,0.502,1.0835,0.6953,0.507,0.6953
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None False True --layer dense 64 None None ,1.2058,0.5031,2.1887,0.6992,0.5003,0.6992
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None False False --layer dense 32 None None ,0.8771,0.5003,1.378,0.7129,0.5048,0.7129
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 64 None None False False --layer dense 64 None None ,0.7323,0.5017,0.8686,0.698,0.5058,0.698
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None True True --layer dense 32 None None ,0.8621,0.5011,1.3924,0.6955,0.5043,0.6955
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None True True --layer dense 64 None None ,0.8058,0.5006,1.2057,0.6963,0.497,0.6963
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None True False --layer dense 32 None None ,0.7253,0.5018,0.8474,0.6939,0.5004,0.6939
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None True False --layer dense 64 None None ,6.8753,0.5043,5.5419,7.5111,0.5131,7.5111
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None False True --layer dense 32 None None ,1.1755,0.4969,2.2621,0.6962,0.5028,0.6962
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None False True --layer dense 64 None None ,7.505,0.5032,7.2074,7.7656,0.4935,7.7656
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None False False --layer dense 32 None None ,7.5614,0.51,7.5582,7.6374,0.5049,7.6374
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer simplernn 128 None None False False --layer dense 64 None None ,2.0253,0.5005,3.922,0.6986,0.5049,0.6986
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None True True --layer dense 32 None None ,0.7076,0.5018,0.7688,0.6955,0.506,0.6955
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None True True --layer dense 64 None None ,0.7182,0.5009,0.8107,0.6949,0.4985,0.6949
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None True False --layer dense 32 None None ,0.7093,0.5006,0.7757,0.6963,0.5116,0.6963
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None True False --layer dense 64 None None ,0.707,0.5016,0.7644,0.6936,0.5089,0.6936
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None False True --layer dense 32 None None ,0.719,0.4994,0.8268,0.6936,0.5074,0.6936
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None False True --layer dense 64 None None ,0.7294,0.4993,0.8597,0.6946,0.5074,0.6946
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None False False --layer dense 32 None None ,0.7643,0.5018,1.0734,0.6937,0.5082,0.6937
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 64 None None False False --layer dense 64 None None ,0.7509,0.5006,0.9575,0.6963,0.5123,0.6963
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None True True --layer dense 32 None None ,7.7675,0.496,7.6819,7.8191,0.4901,7.8191
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None True True --layer dense 64 None None ,1.4141,0.5034,2.9677,0.6966,0.5071,0.6966
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None True False --layer dense 32 None None ,7.5789,0.5099,7.5593,7.5625,0.5097,7.5625
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None True False --layer dense 64 None None ,0.8797,0.5007,1.4718,0.6959,0.5099,0.6959
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None False True --layer dense 32 None None ,1.0535,0.5,1.9949,0.7014,0.4915,0.7014
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None False True --layer dense 64 None None ,7.3761,0.5044,7.2421,7.5647,0.5035,7.5647
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None False False --layer dense 32 None None ,0.7041,0.4998,0.7481,0.6932,0.5099,0.6932
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer gru 128 None None False False --layer dense 64 None None ,0.7565,0.5025,0.9722,0.6991,0.4903,0.6991
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None True True --layer dense 32 None None ,0.7003,0.4998,0.725,0.6933,0.5039,0.6933
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None True True --layer dense 64 None None ,0.7278,0.5042,0.8816,0.6943,0.4965,0.6943
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None True False --layer dense 32 None None ,0.745,0.5024,0.9401,0.6952,0.5027,0.6952
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None True False --layer dense 64 None None ,0.6963,0.5032,0.703,0.6966,0.4891,0.6966
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None False True --layer dense 32 None None ,0.7035,0.5018,0.7453,0.6954,0.5042,0.6954
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None False True --layer dense 64 None None ,0.707,0.4993,0.7676,0.6941,0.4967,0.6941
